uuid	condition	Answer 1	Meng 1	Robin 1	Answer 2	Meng 2	Robin 2	Answer 3	Meng 3	Robin 3	Answer 4	Meng 4	Robin 4	Answer 5	Meng 5	Robin 5	Answer 6	Meng 6	Robin 6
1de97d07	reading	('mRNA', 'protein synthesis')			('Hydrogen', 'protein')			('the liver', 'chemical')			The number of cells and the organelles within depend on what the cells are expected to do--in this case make it possible for the organism to move.			They create insulin which is needed to use glucose for energy.			One molecule of oxygen is removed and it is  removed as water in the breath.		
20e2e41a	reading	('proteins', 'mRNA')			('carbon', 'hydrogen')			('cells', 'respiration')			Form follows function means that the format of cells is built so that they can function properly and help to power the human body through all phases of it's existence.			Pancreas cells convert sugars into energy			The digestive process of the cell breaks down the hydrogen particles to only leave one, and it is exhaled out of the body during respiration.		
98f259f1	reading	('mRNA', 'amino acids')			('glucose', 'ATP')			('peoxisomes ', 'oxidation')			Form follows functions means that things, in this case, cells are built in a way that make sense for what they do, or how they function. It applies to the structure and function of muscles cells in that muscles cells contain a ot of mitochondria, which generate ATP (adenosine triphosphate) providing the energy needed to keep your body in motion 			The structures of digestive pancreas cells support their particular function by producing a large amount of proteins that produce digestive enzymes			The cell is not damaged by the H2O2 because they are contained within the peroxisomes where they are safety broken down into oxygen and water		
bb00a8a0	reading	('mRNA', 'molecules')			('Carbon', 'carbon dioxide')			('mitochondria', 'N/A')			It is the idea that purpose should be the starting point over design. The structure and function of muscle cells all have a purpose.			I don't know.			I don't know		
d611a8d0	reading	('mRNA', 'amino acids')			('Glucose', 'ATP')			('peroxisomes', 'detoxification')			Muscle cells are in constant need of energy in order to do the work they are intended to do.  ATP drives this work so muscle cells are abundant in mitochondria, the organelle responsible for ATP synthesis.						Hydrogen peroxide is destroyed in the peroxisome  by its conversion to water and oxygen.		
d79f7e95	reading	('mRNA', 'whatever amino acid chain the nucleus ordered')			('H202', 'bruh what is this notation')			('specific name', 'specific name')			many mitochondria in muscle cells to produce ATP for local energy			there are organelles that are able to destroy poisons using h2o2			i dont recall		
f56852a3	reading	('rna', 'mrma')			('carbon', 'hydrogen')			('liver', 'detoxification')			The process proceeds in the manner necessary to keep the body running			They are designed to detoxify			Because it is broken down into water and hydrogen		
0a805070	teacher-qa-bot	('peptides', 'tRNA')			('H2O2', 'oxygen')			('waste', 'peroxiosis')			Form follows functions is described like how a hospital needs easy access to emergency rooms. In a cell there are process that allow the optimal function of each cell.			The pancreas cells function is to detoxify the cells.			peroxisomes absorb the deadly H2O2 and break it down to oxygen and water safely. 		
0fb0c505	teacher-qa-bot	('RNA', 'translation')			('Glucose', 'ATP')			('peroxisomes', 'oxidation')			"Form follows function" is a principle that says the shape of a cell is determined by the purpose of the cell. For example, muscle cells are shaped as such because they are responsible for the movement of the body through contractions.			The structure of pancreas cells supports their function by clustering together and surrounding a central lumen. They then secrete digestive enzymes necessary for the digestion process.			The cell is not damaged by H2O2 because before it can become harmful it is broken down and disposed of by an enzyme called catalase. The residual products of the disposal process are water and oxygen.		
1fedce0b	teacher-qa-bot	('messenger RNA (mRNA)', 'amino acids')			('glucose', 'ATP')			('peroxisomes', 'oxidation')			Muscle cells contain large amounts of ribosome for protein production. 			The pancreas cells contain large amounts of the cells that break down nutrients into energy. 			It is converted into water (H2O) and oxygen (O). 		
22362ec9	teacher-qa-bot	('mRNA', 'Amino acid')			('H2O2', 'H2O2')			('peroxisomes', 'oxidation')			Basically, form follows function means a substance constructed supports its activities within it. 			The cells help in giving the organelles protein to function			Oxidation normally could damage the cells but during this breakdown reactions are forced to become peroxisomes then there's H2O2 and water		
31ef1437	teacher-qa-bot	('tRNA', 'synthesis')			('Glucose', 'ATP')			('enzyes', 'detoxification')			The idea that things are constructed to facilitate their function. The organelles and structure of the cells follow the principle as the parts of the ells are shaped such that it facilitates what the function inside the cll is.			I do not know.			The perixisomes have enzymes unsude the organelles that break it down into water and oxygen.		
