uuid,condition,answer_1,score_1,answer_2,score_2,answer_3,score_3,answer_4,score_4,answer_5,score_5,answer_6,score_6
03b019f5,reading,"('mRNA', 'amino acids')",2,"('glucose', 'lactic acid')",1,"('peroxisomes', 'oxidation')",2,"Form follows function means that a structure should support the activities within them. This applies to the structure and function of muscle cells by them being contained in high numbers within the muscle tissue, where they are needed for normal muscle operation.",1,"A high number of ribosomes, the organelles that take care of protein synthesis, are contained within the pancreas.",1,"The cell is not damaged by hydrogen peroxide because it is contained within peroxisomes, organelles that carry out oxidation reactions. They safely break it into oxygen and water.",2
1d3c5ef8,reading,"('MRNA', 'protein which is used by the liver mainly ')",1,"('Glucose', 'ATP')",2,"('peroxisomes', 'oxidation')",2,A cell has the capacity to alter its shape as well as its volume in response to need for altered force production.,0,The pancreas and its cells are important for digesting food and managing your use of sugar for energy atfer digestion. If it gets out of wack you can get diabetes a very serious disease that can lead to loss of life,0,the catalase they contain.,0
302ad47c,reading,"('mrna', 'N/A')",1,"('carbon', 'carbon dioxide')",0,"('amino acids', 'interphase')",0,It means that it pairs with different codes alongside DNA. And each code is paired and follows different functions.,0,They help break down thigns for us to digest.,0,Because it is protected by an enzyme called lisome,0
4a9770ff,reading,"(""I'm not sure"", 'DNA')",0,"('Carbon Dioxide', 'Not sure')",0,"('Cells', 'Not sure')",0,An example was given about a building that has all these components inside like an elevator and furniture. Cells and inside structure follow a similar pattern.,0,"I'm not sure how it works, I just know that cells in the pancreas are used to digest food I believe?",0,I'm honestly not really sure.,0
5722ca70,reading,"('mRNA', 'amino acids')",2,"('glucose', 'energy')",1,"('peroxisomes', 'oxidative')",2,"The principle of ""form follows function"" in biology means that the structure of muscle cells is optimized for  efficient contraction and force generation, aligned with their primary function.",0,"The structure of the digestive pancreas, including its numerous exocrine cells secreting digestive enzymes and endocrine cells producing hormones like insulin, is specialized to support its dual functions of producing digestive enzymes that acid in food digestion when released into the small intestine and regulating blood sugar levers by releasing hormones in the bloodstream.",1,"Cells are not damaged by hydrogen peroxide due to the presence of the enzyme catalase which breaks it down into water and oxygen. The water is integrated into cellular processes, while the residual oxygen is released into the bloodstream and eventually exhaled from the body.",1
750d7a0e,reading,"('messenger RNA', 'unknown')",1,"('unknown', 'unknown')",0,"('bacteria', 'N/A')",0,"Form follows function, which to me means if you're building a 2 bedroom home, no more than 4 persons should live in it.  It cannot adequately hold a family of 8.",0,I don't know,0,I don't know,0
aee66a6d,reading,"('mRNA', 'amino acids')",2,"('glucose', 'ATP')",2,"(""don't remember"", ""don't remember"")",0,Not sure,0,Not sure,0,Enzymes,0
b849f449,reading,"('mrna', 'amino acid')",2,"('water', 'h202')",0,"('peroxisomes', 'oxidation')",2,The building is constructed to support the functionality of its housed activities. The ribosomes in our cells perform protein synthesis in our body to support our energy output.,0,Ribosomes inside eukaryotic cells synthesize large numbers of proteins and house other organelles that perform unique roles.,0,Peroxisomes perform an oxidation process that break down fatty acids and amino acids. They break down poisons into harmless water and oxygen through enzymes within.,1
bcde45cb,reading,"('mRNA', 'amino acids')",2,"('glucose', 'ATP')",2,"('peroxisomes', 'oxidation')",2,Form follows function is the principle that the form something takes should help support its function. Muscle cells have a high concentration of mitochondria to produce ATP.,2,Ribosomes are found in large amounts in the pancreas.,1,Enzymes in the peroxisomes break down the H2O2 safely into water and oxygen.,1
cbcb5e82,reading,"('mRNA', 'amino acids')",2,"('ATP', 'lactic acid')",0,"('peroxisomes', 'chemical')",1,"The principle ""form follows function"" is that for a given structure, its form is shaped by its function. The text gave the example of how an emergency room in a hospital must have easy access due to the need to transport patients directly and efficiently. The function, getting patients in and out quickly, shapes its form, having a clear and unobstructed path. When applying this principle to muscle cells, consider that muscle cells require much more energy than other cells in order to move. As a consequence muscle cells have a higher amount of mitochondria present in them (form) due to their need for ATP (function).",2,"Since pancreas cells have the specialized task of creating proteins, they have much more ribosomes, the organelles that synthesize protein, than other cells. This is analogous to how muscle cells have more mitochondria than other cells.",1,"Hydrogen peroxide is broken down into water and oxygen by peroxisomes, the cell organelles that break down fatty acids and amino acids.",1
dc335686,reading,"('Phosphates', 'Phenomes')",0,"('Hydrogen', 'Carbon')",0,"('Ejaculation', 'Photosynthesis')",0,You need good form in order to function.,0,"By taking probiotics, you regulate and gain important digestive enzymes for the gut.",0,I have no idea.,0
0ca07eae,teacher-qa-bot,"('enzymes', 'cells')",0,"('carbon ', 'hydrogen')",0,"('eukarodic', 'detoxification')",0,Something is made or built in order to produce results and then how it looks is secondarily important.,0,They help to balance toxins.,0,The residuals become waste.,0
10da0ed5,teacher-qa-bot,"('clusters', 'ribosomes')",0,"('hydrogen', 'hydrogen peroxide')",0,"('cells', 'oxidation')",1,It means that the design of the structure is based on its function. In muscle cells we would see more proteins in organs that require this.,0,There is more protein synthesis here.,1,It is broken down by enzymes before it can damage cells.,0
25f91beb,teacher-qa-bot,"('messenger RNA', 'amino acids')",2,"('Glucose', 'ATP Energy')",2,"(' peroxisomes', 'oxidation')",2,"In muscle cells, the excess mitochondria enables movement by providing the adequate energy.",1,The ribosomes which are in the pancreas cells are used for protein production. This helps digestive enzymes as well as align their structure to their functions.,2,The peroxisomes detoxify the cells in an non-destructive manner. This is done by splitting peroxide to into oxygen and water through the use of enzyme.,1
29d1fbab,teacher-qa-bot,"('protein carriers', 'proteins')",0,"('H and carbon', 'H')",0,"('reactions', 'synthesis')",0,I can not recall,0,I can not recall,0,I can not recall,0
3f0efa64,teacher-qa-bot,"('messenger RNA', 'amino acids')",2,"('glucose', 'atp')",2,"('peroxisomes', 'oxididation')",2,Muscle cells have high amounts of mitochondria (the form) that are used to make atp for energy. Here the form is clearly related to the function.,1,"The structure of pancreas cells include large amounts of ribosomes, which supports protein synthesis which is needed for the cells of the pancreas.",1,The peroxisomes protect the cells by breaking down the h202 into oxygen and water.,1
4eec345c,teacher-qa-bot,"('protein', 'DNA')",0,"('water', 'energy')",0,"('perioxomes ', 'purification')",1,Multiple proteins formed by ribosomes cause the cell to function by being alive.,0,They break down the toxins in the body.,0,H202 is disposed of by the perioxomes that detoxify the chemical and turn it into H2O,0
